Дата оплаты	Лицевой счет	Сумма
04.02.2021	010101060	975,42
04.02.2021	010103033	1153,21
04.02.2021	010103101	821,66
04.02.2021	010104158	1518,39
04.02.2021	010104159	1436,71
04.02.2021	010105085	2099,80
04.02.2021	010106287	1359,83
04.02.2021	010107242	211,63
04.02.2021	010107399	922,57
04.02.2021	010107413	1018,67
04.02.2021	010107418	1758,64
04.02.2021	010107419	1119,58
04.02.2021	010107420	1451,12
04.02.2021	010108239	571,80
04.02.2021	010111028	1095,55
04.02.2021	010113025	509,33
04.02.2021	010117082	2532,26
04.02.2021	010125119	442,06
04.02.2021	010125122	1725,01
04.02.2021	010126078	2746,77
04.02.2021	010127009	759,19
04.02.2021	010301064	2364,08
04.02.2021	010301158	1912,41
04.02.2021	010302217	345,96
04.02.2021	010303178	1571,25
04.02.2021	010303307	1167,63
04.02.2021	010303328	2306,42
04.02.2021	010304008	1129,19
04.02.2021	010305200	663,09
04.02.2021	010401004	2993,55
04.02.2021	010401223	2450,58
04.02.2021	010401224	2959,91
04.02.2021	010402275	2193,96
04.02.2021	010403288	1602,28
04.02.2021	010606008	369,99
04.02.2021	010606330	922,57
04.02.2021	010606334	2935,88
04.02.2021	010606335	2258,37
04.02.2021	010606336	2599,53
04.02.2021	010609178	1614,50
08.02.2021	010609196	2176,69
04.02.2021	010609197	1624,11
04.02.2021	010609198	965,81
04.02.2021	010610205	2359,28
04.02.2021	010610310	115,32
04.02.2021	010701177	2625,84
04.02.2021	010701179	3208,89
04.02.2021	010801006	1446,32
04.02.2021	010801037	2325,64
04.02.2021	010801066	1167,63
04.02.2021	010801088	3353,92
04.02.2021	010801258	1066,72
04.02.2021	010803223	3253,01
04.02.2021	010803224	3161,72
04.02.2021	010806172	2378,50
04.02.2021	010806181	2551,48
04.02.2021	010904008	2090,31
04.02.2021	010904083	1681,76
04.02.2021	010909104	2751,10
04.02.2021	010909326	3320,29
04.02.2021	010912320	1691,37
04.02.2021	011005084	1350,22
04.02.2021	011005093	235,44
04.02.2021	011006138	821,66
04.02.2021	011006191	2537,07
04.02.2021	020102862	129,73
04.02.2021	020103206	2258,37
04.02.2021	020104081	3031,98
04.02.2021	020105062	2479,40
04.02.2021	020105639	2700,44
04.02.2021	020105640	2791,73
04.02.2021	020107269	932,18
04.02.2021	020107310	2887,83
04.02.2021	020107359	2657,20
04.02.2021	020114118	336,35
